id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
3303401,33,70.0,68.84,749.71,-1.1599999999999966,RJ,Sudeste,0.7720512442254435,1,Muito alto
1507458,15,57.34,52.06,737.45,-5.280000000000001,PA,Norte,0.7715018490110486,1,Muito alto
5005103,50,70.92,56.25,742.96,-14.670000000000002,MS,Centro-Oeste,0.7714779953825782,1,Muito alto
3500600,35,80.0,80.89,766.19,0.8900000000000006,SP,Sudeste,0.7714216063863553,1,Muito alto
5107305,51,75.26,60.28,752.9,-14.980000000000004,MT,Centro-Oeste,0.7713612459581847,1,Muito alto
2806107,28,52.05,39.01,729.33,-13.04,SE,Nordeste,0.7709758502101656,1,Muito alto
3507308,35,73.9,66.62,754.89,-7.280000000000001,SP,Sudeste,0.7708595098461893,1,Muito alto
2504504,25,64.0,46.13,742.86,-17.869999999999997,PB,Nordeste,0.7707013528946918,1,Muito alto
1101203,11,74.81,69.17,751.95,-5.640000000000001,RO,Norte,0.7705815169569051,1,Muito alto
5108352,51,58.95,23.86,721.28,-35.09,MT,Centro-Oeste,0.7705244650031581,1,Muito alto
5101605,51,66.53,41.67,735.38,-24.86,MT,Centro-Oeste,0.7705094188067368,1,Muito alto
2803906,28,48.29,36.75,717.63,-11.54,SE,Nordeste,0.7696835490148995,1,Muito alto
4115903,41,73.37,56.0,743.77,-17.370000000000005,PR,Sul,0.7692328139805825,1,Muito alto
3128600,31,79.32,51.62,744.23,-27.699999999999996,MG,Sudeste,0.7689309661714153,1,Muito alto
4105409,41,80.0,70.85,756.75,-9.150000000000006,PR,Sul,0.7685863762705772,1,Muito alto
2706505,27,54.15,32.59,718.97,-21.559999999999995,AL,Nordeste,0.7685561905357545,1,Muito alto
2708204,27,71.26,70.72,752.39,-0.5400000000000063,AL,Nordeste,0.7682559563901281,1,Muito alto
4311205,43,49.24,42.2,733.48,-7.039999999999999,RS,Sul,0.7678345253084523,1,Muito alto
3508306,35,79.58,78.11,767.36,-1.4699999999999989,SP,Sudeste,0.7676692140151126,1,Muito alto
3531407,35,75.51,65.44,762.17,-10.070000000000007,SP,Sudeste,0.7673256858034027,1,Muito alto
2513851,25,56.38,35.81,723.61,-20.57,PB,Nordeste,0.767035738298384,1,Muito alto
2201945,22,80.0,77.1,771.88,-2.9000000000000057,PI,Nordeste,0.7668633443732056,1,Muito alto
1501758,15,67.55,75.7,757.46,8.150000000000006,PA,Norte,0.7668223287883054,1,Muito alto
3531308,35,71.18,59.0,751.44,-12.180000000000007,SP,Sudeste,0.7666072810031844,1,Muito alto
1100148,11,76.38,75.61,753.48,-0.769999999999996,RO,Norte,0.7664599011720358,1,Muito alto
2511400,25,61.49,42.85,736.93,-18.64,PB,Nordeste,0.7664062226171015,1,Muito alto
1101559,11,74.44,65.3,754.2,-9.14,RO,Norte,0.7662989756374764,1,Muito alto
3544004,35,69.84,58.5,747.07,-11.340000000000003,SP,Sudeste,0.7659662922941175,1,Muito alto
2406809,24,53.62,47.42,726.38,-6.199999999999996,RN,Nordeste,0.7656534072824114,1,Muito alto
3517604,35,71.09,60.31,750.3,-10.780000000000001,SP,Sudeste,0.7655790122725848,1,Muito alto
