id_municipio,id_uf,uf,regiao,taxa_base,media_portugues_base,meta_alvo,gap_base_meta,prob_risco_abaixo_meta_2025,cluster,perfil_cluster
3122355,31,MG,Sudeste,62.69,750.74,60.41,2.280000000000001,0.15657372133734107,3,Desempenho favorável
3130309,31,MG,Sudeste,94.08,798.13,80.0,14.079999999999998,0.15654422850748773,1,Melhor desempenho / menor risco
2805901,28,SE,Nordeste,31.48,722.38,25.46,6.02,0.15622764732931474,3,Desempenho favorável
3142700,31,MG,Sudeste,60.75,746.25,58.73,2.020000000000003,0.15595183988736686,3,Desempenho favorável
3165552,31,MG,Sudeste,60.0,747.4,58.89,1.1099999999999994,0.1559050129091892,3,Desempenho favorável
2605707,26,PE,Nordeste,51.67,739.67,47.6,4.07,0.1558363922994887,3,Desempenho favorável
3166907,31,MG,Sudeste,80.88,768.49,69.02,11.86,0.1556099593740114,1,Melhor desempenho / menor risco
2104107,21,MA,Nordeste,78.25,771.92,56.35,21.9,0.15543604316338683,1,Melhor desempenho / menor risco
3204955,32,ES,Sudeste,89.65,778.71,76.21,13.440000000000012,0.1553475899227354,1,Melhor desempenho / menor risco
5203807,52,GO,Centro-Oeste,92.82,782.77,80.0,12.819999999999993,0.15526384666279572,1,Melhor desempenho / menor risco
3202504,32,ES,Sudeste,81.16,768.48,71.61,9.549999999999997,0.15507838926140974,1,Melhor desempenho / menor risco
3149804,31,MG,Sudeste,83.41,776.55,71.73,11.679999999999993,0.15492943584653335,1,Melhor desempenho / menor risco
5204656,52,GO,Centro-Oeste,81.73,767.48,73.43,8.299999999999997,0.15444437929779548,1,Melhor desempenho / menor risco
2504074,25,PB,Nordeste,87.82,776.4,58.68,29.139999999999993,0.15435914411805937,1,Melhor desempenho / menor risco
3148400,31,MG,Sudeste,90.14,777.62,73.38,16.760000000000005,0.1543156066342031,1,Melhor desempenho / menor risco
2313401,23,CE,Nordeste,86.1,792.13,80.0,6.099999999999994,0.15403055623280773,1,Melhor desempenho / menor risco
2102309,21,MA,Nordeste,57.18,750.45,45.96,11.219999999999999,0.15383195294051671,3,Desempenho favorável
2612406,26,PE,Nordeste,65.85,752.59,53.98,11.869999999999997,0.15380248053507067,3,Desempenho favorável
3142601,31,MG,Sudeste,78.89,767.72,68.28,10.61,0.15371256013979157,1,Melhor desempenho / menor risco
5215256,52,GO,Centro-Oeste,94.54,781.95,80.0,14.540000000000006,0.15315290358943248,1,Melhor desempenho / menor risco
3119203,31,MG,Sudeste,73.42,756.42,63.99,9.43,0.153141612473888,3,Desempenho favorável
